,N25,N25anti,N25-A1,N25-A1anti,DG115a,DG121,DG122,DG124a,DG125a,DG126,DG127,DG128a,DG130a,DG131a,DG132a,DG133,DG135a,DG137a,DG138a,DG141,DG142,DG145,DG146a,DG147a,N25,N25anti,DG148,DG149a,DG151a,DG152a,DG154a,DG155,DG156-3,DG159,DG160a,DG161a,DG162,DG163a,DG164,DG165b,DG166,DG167,DG168a,DG169a,DG170a
"2 mer",3322649,1506271,3443600,43568560,0,0,0,1358266,40673698,7988657,0,0,0,4269964,1647844,39503544,0,0,5065066,7230202,39819228,42024577,0,6736345,0,0,6359615,5066025,3712558,0,8457790,4689608,10394127,9509516,10834574,11410005,10354043,8364957,8521416,8102673,10019842,8998508,6005311,9978407,14657046
"3 mer",7449424.27,5791960.83,8099380.33,6541581.77,7245735.86,5671294.33,5485307.54,11437818.36,6367681.06,7756113.67,6187595.44,8661415.05,4949984.61,6749586.59,10967156.38,6426119.46,10069599.7,41232942.05,12490460.53,7884468.43,14058375.5,11473731.04,10875653.02,5905732.09,6740410.53,4897810.92,5114470.38,4600929.46,6702839.39,17596208.73,24606176.28,9529189.29,32421231.07,4802787.59,4223007.83,5994189.86,4315783.08,15230049.73,23448053.83,26307910.71,5083673.5,19283443.77,9394094.41,6200269.89,30144234.42
"4 mer",6676186,3599855.23,1547865.88,6762930.15,4458339.66,12134936.7,2916641.63,2397569.39,3505423.88,4931454.95,2707768.72,4228712.07,4286830.54,6578030.03,3818876.16,3551420.6,4609132.38,31227650.89,10588452.72,7160015.41,7033365.1,12290885.4,2472108.88,2490650.02,6424087.66,3287495.88,2577520.46,1416903.41,2292974.88,3359817.73,5562249.21,2290931.02,4256239.29,1545137.11,4996529.47,4773028.75,11579522.51,2522521.83,5804958.62,2289655.24,11160924.29,3597537.52,2728677.11,4926001.94,5310676.88
"5 mer",1660870.65,1980428.11,699782.62,5216860.42,3840855.19,2778634.18,1297020.8,15257171.49,16601640.34,3337544.75,3131498.72,3207727.6,1089500.61,3010743.11,12043171.48,8569965.25,13446149.29,2990801.38,22768430.06,1616567.2,5752845.18,3213090.82,2552462,3178040.3,1492272.47,2088579.43,1171552.05,5089628.62,3245247.93,1179947.76,3941632.86,3308267.15,3399901.83,1270179.44,799433.05,1777057.1,676917.41,6113426.22,1783705.49,3471688.56,6821857.12,25523724.32,8895789.82,3008421.88,2774989.93
"6 mer",3220751.47,1012199.65,1031522.15,23240550.29,5442859.67,2298923.34,6540696.37,26918961.55,23771984.35,10993747.99,3490599.12,1288891.38,2068479.32,1694572.32,5411933.84,13555113.88,11605637.99,12794196.19,18105729.17,8925707.77,17768919.54,7053964.55,7947313.81,4861289.12,2781514.24,831707.95,24533969.26,3966645.31,6512194.97,28974473.69,7670706.7,8853752.39,4557467.79,4728037.45,2745277.17,5309893.95,1823048.35,6669747.55,3609559.27,1302843.71,30650132.09,6421324.68,8179549.67,13817637.68,37230163.12
"7 mer",1296606.11,3196701.36,966539.13,3669219.23,740418.75,1479943.63,719960.98,5376043.05,9656190.15,1017711.43,2550983.19,1854314.69,5230509.14,1494928.25,633163.08,9233324.52,452362.98,2326815.21,8428515.81,40041820.01,10996012.49,439894.6,1444366.16,649940.24,933136.31,2567586.02,3639694.8,853013.6,695826.98,1312574.15,7215203,1832821.85,1754703.84,637280.82,5848103.49,599608.52,541221.16,763468.42,1125080.33,2626344.61,16243725.16,429510.16,5016561.18,2546453.25,2028166.05
"8 mer",4751247.63,6196589.13,449361.94,20570750.04,142773.76,522285.62,722379.89,793062.71,7272449.16,2621570.99,17887375.67,12386879.35,621793,1888946.84,2319227.71,2082349.65,2611511.38,40956232.16,8167422.54,1501386.75,14342421.5,718768.3,1769968.65,692257.34,4101201.17,5350827.93,15373812.55,715987.13,914437.77,13468069.59,3513597.31,800620.63,1185079.32,2273240.51,753864.03,7954085.49,650712.77,955220.18,574573.79,1034416.56,1182409.86,406114.76,2267840.1,2694606.7,5055040.56
"9 mer",1689170.92,1415847.72,290781.43,12414280.8,299751.63,2093219.54,564955.7,498671.81,3718281.84,1910883.03,437574.06,814374.44,1139929,1961176.84,334430.53,2553405.6,1822530.16,2745568.61,6747340.9,1277387.6,2471220.66,9190910.63,1631793.52,1048596.13,1789212.09,1048791.18,815724.75,2632923.54,1148794.33,3143262.88,4403810.34,994981.93,2395424.14,1771490.08,2058055.3,846275.91,512566.71,717431.26,763960.23,3875024.86,1068389.79,4618775.08,3110504.68,3936437.78,3248800.86
"10 mer",953737.21,1214218.43,301639.9,13432818.2,1184444.87,1005645.06,1051082.11,382729.73,3062635.14,1113514.84,530985.89,847057.27,1163711.35,2147787.77,250620.71,13426844.91,3105594.41,941228.82,3444732.3,2267769.61,3860928.68,16002797.62,791272.22,539658.6,1048327.96,1048230.7,1577064.41,2174412.92,653541.64,431619.95,2961442.39,927627.53,1128712.04,,6140402.82,3082162.34,603102.51,841729.33,1214615.04,2331148.01,503800.83,1178991.12,1291781.6,810282.73,1659414.15
"11 mer",,528072.41,578071.93,1738547.93,1491326.53,1340094.77,1098765.08,652589.31,414801.63,1213969.35,664295.85,2351828.92,413987.92,2108099.65,560163.66,2323384.36,1457075.57,11610755.98,35976587.73,4148537.83,2222496.87,21433576.66,388638.58,412049.35,,556622.31,1126400.29,948269.48,1391863.13,431237.86,11954495.11,536329.19,3138977.2,,700499.03,634258.94,1742777.1,414344.62,784975.06,1746254.86,4662529.18,791543.3,2896000.54,1285597.98,1748284.58
