,DG122,DG131a,N25-A1,N25a,DG162,DG149a,DG155,DG133,DG156-3,DG142,DG167,DG145,N25antiC2a,DG154a,N25-A1anti,DG137a,DG124a,DG115a,DG121,DG125a,DG126,N25a,N25antiC2a,DG127,DG128a,DG130a,DG132a,DG135a,DG138a,DG141,DG146a,DG147a,DG148,DG151a,DG152a,DG159,DG160a,DG161a,DG163a,DG164,DG165b,DG166,DG168a,DG169a,DG170a
"2 mer",18779508,29204932,9268233,24079224,20734206,21506785,5458552,29279021,13119306,31974266,4272576,33694841,0,26358818,57998697,17159544,3373895,5655537,8378946,33282135,17049793,15997848,3428077,3788363,3718677,15559907,1817870,14639457,19676956,11328567,0,4590382,20800142,1013751,3208208,25065315,17112747,15314899,0,2491095,10313764,4490267,5450916,4097475,7687802
"3 mer",1422192,2300990,1614147,3818838,922850,1620778,7325349,1034634,29881418,8435786,15007393,6457553,513670,27791312,2127851,31358249,4581806,1768137,1119199,1696450,2887799,2951796,946184,595241,2365125,908259,3975148,4033137,4913862,1707042,4256701,828299,2046976,1980161,16769501,1015102,1120293,2269645,8936273,19959185,17493767,173487,4332021,1322750,23290494
"4 mer",1623046,4638430,259549,4321175,9243976,277398,1212967,1784528,2928394,5130633,2000655,9062467,1722463,5360524,4941069,27691601,684757,2060631,7525826,1369885,2863181,3598732,1917081,143747,1647356,1862356,1658349,2506505,6626325,2790115,626349,646519,1581902,739744,2411079,454007,2982060,3359456,923601,3059105,623596,8170278,973644,2908173,3426146
"5 mer",941879,2140539,148503,1086563,266985,5022249,2960883,7348683,1951383,5176781,20332846,2221643,435228,4396242,4448630,2358618,13596776,2763541,1106710,10631083,1768617,838988,276274,1202671,1339799,198777,8786070,10108605,14858998,134998,1235670,2103805,621485,1854041,816713,213928,296458,986444,4045178,1246501,1576851,5940420,6120344,1942828,1808600
"6 mer",6143680,1545028,735578,2146814,1747632,4340598,10416599,12490556,3369787,16057904,4762427,7172157,2374904,7346310,24235004,11174498,22317686,6199025,1513888,14782732,7504590,1869911,2445326,2444403,824118,1407526,4310350,9103211,11769604,4717582,5184320,4589731,21692669,5089946,27607259,3581544,2172010,4036060,5196320,2766765,748267,28441776,6644064,10965435,28257050
"7 mer",593969,1268944,980057,845579,526107,1050939,1889183,8233610,975640,9316368,428394,219424,4687415,7101738,3424445,2531910,4031279,630876,957339,5435924,539008,583690,5092958,1561687,1111249,3268783,295446,245942,6364024,22978918,435030,175675,2625983,387332,1041039,238602,5054289,281288,355639,849020,1420775,12987656,3471273,1641114,1184801
"8 mer",663763,1637754,483382,3847963,839265,1046174,1068712,1958995,883799,12768628,410077,470437,1015677,3529895,20874872,34959379,390845,592518,336033,3979813,1615837,2862329,1054431,12425220,8021969,365055,1945877,2388385,6069232,972882,996340,453963,12815573,799054,12339983,1972206,718415,6550410,809942,428322,833463,1023504,1468454,1800149,3629879
"9 mer",445893,1583656,308212,1725038,556623,2904458,1158077,2218959,1110282,1937201,3120824,7738434,927777,3587678,12691904,1980873,263080,825269,1332485,2033656,1107488,1513541,398969,671757,611939,914980,261603,1382979,4701750,840784,1084948,487621,869064,890289,2995436,1478428,1725517,833311,1083382,599192,2636430,1036595,2227297,2786177,2468821
"10 mer",813912,1733066,224572,921058,669375,2087374,1004282,11226652,692904,2794603,690193,12240524,340894,2166271,12094191,440545,121491,1121987,485914,1619284,595152,791833,500087,359534,533600,763282,166549,2039254,2232648,1310895,578113,818617,1369265,451409,339921,216401,5075483,2111823,584085,967880,1412456,327117,954278,523055,1033401
"11 mer",784104.92,1547782.16,544868.06,383005.37,1535965.65,229428.22,478951.22,1552782.84,1777693.3,1474526.86,380969.57,13854976.2,225284.99,8520901.86,1282600.33,6466154.61,309743.75,1275807.59,703243.5,130964.55,651227.38,331221,413389,445623,1674751,270632,493496,720150,21006648,2270967,314336,258785,973371,1043765,340808,241145,610667,280067,236951,581989,1092544,3341362,1818212,857387,996408
"12 mer",328577.97,693233.12,401504.82,226735.16,298230.67,915820.65,591520.77,563592.98,416185.79,5492051.43,1066157.04,138570.78,606212.77,2755447.68,1331526.04,631644.33,227260.17,1742341.53,690490.74,135597.46,154352.35,241101.3975,858317.2275,381670.1575,897280.8375,314850.0775,490931.5775,578996.8775,534310.3475,2716326.9075,284036.9075,227861.3175,196320.1875,355095.2775,246168.1175,210280.4075,762756.2175,434122.5875,397958.3875,423647.3275,611794.6275,1648020.6775,741035.6275,444082.4475,398310.4975
"13 mer",887495.45,772738.35,1009144.1,,1318088.11,878407.1,784349.22,1589744.63,6672310.17,5724194.61,371544.44,293603.86,3897808.45,1927292.11,825925.72,4069836.29,1875589.03,3245257.64,162473.98,2344596.5,222947.55,232637.2075,4783728.9875,2927759.7375,4231841.1875,374550.1475,476289.0275,883536.6975,3680509.4175,1147697.7075,555051.6875,935913.1075,259742.3175,2625476.1975,278132.2575,474267.8075,1597864.2675,1149316.3375,248833.0175,373293.9275,1363095.3875,4823781.6875,5429301.8975,2278322.0175,957468.0875
"14 mer",357145.92,669866.18,1709042.75,,116829.67,5609282.03,1510820.25,387947.1,2584993.84,2328857.6,235942.76,422286.65,2575111.84,684219.75,408709.33,2029448.75,979258.32,974485.72,623698.52,1632876.32,3040311.68,229900.4375,3398706.1675,892802.6275,863462.7375,467605.2075,1100758.1575,551927.9775,670709.7675,1010974.2375,319178.1775,248809.6675,281926.9675,2110311.8175,298123.3175,240494.2175,375515.2775,414853.6875,277166.9475,648025.8975,452096.8275,286197.5675,1284694.4775,1773964.6775,670699.7775
"15 mer",1087963.13,468154.62,943442.61,,239899.38,1196889.11,551659.26,911992.82,526123.17,155009.61,199490.04,485218.56,279371.72,,345430.99,596736.35,273591.7,245069.16,,1460222.44,327115.19,,397033.5475,,1481833.4175,656993.3875,265007.0975,416595.7275,230373.9475,,428365.5875,288662.5575,242554.3075,285505.2075,998893.7375,359901.5275,440851.4675,,599154.1275,1491096.3575,753086.9075,,271546.9875,380920.2975,816994.1775
"16 mer",519437.45,309373.37,456166.14,,,,,543670.72,,,,,,,284045.31,,,,,202392.06,146050.42,,,,334588.3175,,310281.1875,465964.2575,378315.7575,,297740.0675,501171.7775,369142.1075,337136.9575,,,,,377250.2575,355302.7875,391259.6475,,664629.9675,388463.0475,369583.0275
"17 mer",449556.44,,498829.98,,,,,,,,,,,,,,,,,,,,,,332894.2575,,,367033.5475,,,338904.7475,290939.9375,333879.6075,,,,,,552248.8175,299587.7275,,,,233879.3675,
"18 mer",203630.48,,251011.62,,,,,,,,,,,,,,,,,,,,,,372768.1875,,,280836.5875,,,304939.1075,,,,,,,,,,,,,288875.8375,
"19 mer",,,245963.98,,,,,,,,,,,,,,,,,,,,,,,,,178618.2575,,,283732.6775,,,,,,,,,,,,,226917.3975,
"20 mer",,,,,,,,,,,,,,,,,,,,,,,,,,,,300672.7975,,,253342.3375,,,,,,,,,,,,,370844.1675,
FL,2471894,2392736,1413841,2322814,1636898,1214578,943229,1758923,768293,858808,658059,628930,526199,517833,624141,314748,317562,1120761,901573,997928,1183004,2576335,618123,1164882,1687368,2012938,1528840,1472401,1360359,428769,2139833,520140,643060,1929916,444060,1848621,1004253,2180890,1280273,1294232,1505601,809881,1144025,1245708,705178
